Målepunkt id,Fra dato,Til dato,Mængde,Måleenhed
571313115103364037,18-08-2018 kl. 03,18-08-2018 kl. 04,0.093,kWh
571313115103364037,18-08-2018 kl. 02,18-08-2018 kl. 03,0.117,kWh
571313115103364037,18-08-2018 kl. 01,18-08-2018 kl. 02,0.145,kWh
571313115103364037,18-08-2018 kl. 00,18-08-2018 kl. 01,0.274,kWh
571313115103364037,17-08-2018 kl. 23,18-08-2018 kl. 00,0.227,kWh
571313115103364037,17-08-2018 kl. 22,17-08-2018 kl. 23,0.232,kWh
571313115103364037,17-08-2018 kl. 21,17-08-2018 kl. 22,0.259,kWh
571313115103364037,17-08-2018 kl. 20,17-08-2018 kl. 21,0.317,kWh
571313115103364037,17-08-2018 kl. 19,17-08-2018 kl. 20,0.218,kWh
571313115103364037,17-08-2018 kl. 18,17-08-2018 kl. 19,0.163,kWh
571313115103364037,17-08-2018 kl. 17,17-08-2018 kl. 18,0.662,kWh
571313115103364037,17-08-2018 kl. 16,17-08-2018 kl. 17,0.169,kWh
571313115103364037,17-08-2018 kl. 15,17-08-2018 kl. 16,0.154,kWh
571313115103364037,17-08-2018 kl. 14,17-08-2018 kl. 15,0.165,kWh
571313115103364037,17-08-2018 kl. 13,17-08-2018 kl. 14,0.178,kWh
571313115103364037,17-08-2018 kl. 12,17-08-2018 kl. 13,0.32,kWh
571313115103364037,17-08-2018 kl. 11,17-08-2018 kl. 12,0.221,kWh
571313115103364037,17-08-2018 kl. 10,17-08-2018 kl. 11,0.083,kWh
571313115103364037,17-08-2018 kl. 09,17-08-2018 kl. 10,0.074,kWh
571313115103364037,17-08-2018 kl. 08,17-08-2018 kl. 09,0.075,kWh
571313115103364037,17-08-2018 kl. 07,17-08-2018 kl. 08,0.075,kWh
571313115103364037,17-08-2018 kl. 06,17-08-2018 kl. 07,0.076,kWh
571313115103364037,17-08-2018 kl. 05,17-08-2018 kl. 06,0.078,kWh
571313115103364037,17-08-2018 kl. 04,17-08-2018 kl. 05,0.082,kWh
571313115103364037,17-08-2018 kl. 03,17-08-2018 kl. 04,0.082,kWh
571313115103364037,17-08-2018 kl. 02,17-08-2018 kl. 03,0.091,kWh
571313115103364037,17-08-2018 kl. 01,17-08-2018 kl. 02,0.089,kWh
571313115103364037,17-08-2018 kl. 00,17-08-2018 kl. 01,0.17,kWh
571313115103364037,16-08-2018 kl. 23,17-08-2018 kl. 00,0.173,kWh
571313115103364037,16-08-2018 kl. 22,16-08-2018 kl. 23,0.118,kWh
571313115103364037,16-08-2018 kl. 21,16-08-2018 kl. 22,0.139,kWh
571313115103364037,16-08-2018 kl. 20,16-08-2018 kl. 21,0.084,kWh
571313115103364037,16-08-2018 kl. 19,16-08-2018 kl. 20,0.079,kWh
571313115103364037,16-08-2018 kl. 18,16-08-2018 kl. 19,0.165,kWh
571313115103364037,16-08-2018 kl. 17,16-08-2018 kl. 18,0.188,kWh
571313115103364037,16-08-2018 kl. 16,16-08-2018 kl. 17,0.167,kWh
571313115103364037,16-08-2018 kl. 15,16-08-2018 kl. 16,0.13,kWh
571313115103364037,16-08-2018 kl. 14,16-08-2018 kl. 15,0.074,kWh
571313115103364037,16-08-2018 kl. 13,16-08-2018 kl. 14,0.074,kWh
571313115103364037,16-08-2018 kl. 12,16-08-2018 kl. 13,0.073,kWh
571313115103364037,16-08-2018 kl. 11,16-08-2018 kl. 12,0.073,kWh
571313115103364037,16-08-2018 kl. 10,16-08-2018 kl. 11,0.074,kWh
571313115103364037,16-08-2018 kl. 09,16-08-2018 kl. 10,0.073,kWh
571313115103364037,16-08-2018 kl. 08,16-08-2018 kl. 09,0.073,kWh
571313115103364037,16-08-2018 kl. 07,16-08-2018 kl. 08,0.075,kWh
571313115103364037,16-08-2018 kl. 06,16-08-2018 kl. 07,0.111,kWh
571313115103364037,16-08-2018 kl. 05,16-08-2018 kl. 06,0.088,kWh
571313115103364037,16-08-2018 kl. 04,16-08-2018 kl. 05,0.074,kWh
571313115103364037,16-08-2018 kl. 03,16-08-2018 kl. 04,0.075,kWh
571313115103364037,16-08-2018 kl. 02,16-08-2018 kl. 03,0.075,kWh
571313115103364037,16-08-2018 kl. 01,16-08-2018 kl. 02,0.076,kWh
571313115103364037,16-08-2018 kl. 00,16-08-2018 kl. 01,0.077,kWh
571313115103364037,15-08-2018 kl. 23,16-08-2018 kl. 00,0.075,kWh
571313115103364037,15-08-2018 kl. 22,15-08-2018 kl. 23,0.075,kWh
571313115103364037,15-08-2018 kl. 21,15-08-2018 kl. 22,0.075,kWh
571313115103364037,15-08-2018 kl. 20,15-08-2018 kl. 21,0.075,kWh
571313115103364037,15-08-2018 kl. 19,15-08-2018 kl. 20,0.075,kWh
571313115103364037,15-08-2018 kl. 18,15-08-2018 kl. 19,0.074,kWh
571313115103364037,15-08-2018 kl. 17,15-08-2018 kl. 18,0.074,kWh
571313115103364037,15-08-2018 kl. 16,15-08-2018 kl. 17,0.073,kWh
571313115103364037,15-08-2018 kl. 15,15-08-2018 kl. 16,0.072,kWh
571313115103364037,15-08-2018 kl. 14,15-08-2018 kl. 15,0.073,kWh
571313115103364037,15-08-2018 kl. 13,15-08-2018 kl. 14,0.075,kWh
571313115103364037,15-08-2018 kl. 12,15-08-2018 kl. 13,0.091,kWh
571313115103364037,15-08-2018 kl. 11,15-08-2018 kl. 12,0.124,kWh
571313115103364037,15-08-2018 kl. 10,15-08-2018 kl. 11,0.101,kWh
571313115103364037,15-08-2018 kl. 09,15-08-2018 kl. 10,0.18,kWh
571313115103364037,15-08-2018 kl. 08,15-08-2018 kl. 09,0.077,kWh
571313115103364037,15-08-2018 kl. 07,15-08-2018 kl. 08,0.074,kWh
571313115103364037,15-08-2018 kl. 06,15-08-2018 kl. 07,0.074,kWh
571313115103364037,15-08-2018 kl. 05,15-08-2018 kl. 06,0.074,kWh
571313115103364037,15-08-2018 kl. 04,15-08-2018 kl. 05,0.075,kWh
571313115103364037,15-08-2018 kl. 03,15-08-2018 kl. 04,0.074,kWh
571313115103364037,15-08-2018 kl. 02,15-08-2018 kl. 03,0.075,kWh
571313115103364037,15-08-2018 kl. 01,15-08-2018 kl. 02,0.08,kWh
571313115103364037,15-08-2018 kl. 00,15-08-2018 kl. 01,0.16,kWh
571313115103364037,14-08-2018 kl. 23,15-08-2018 kl. 00,0.235,kWh
